,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,subject
alpha[0],4.423,2.163,0.564,8.725,0.024,0.021,8038.0,2998.0,1.0,sub-01
alpha[1],-3.147,2.145,-7.148,1.017,0.024,0.023,7870.0,2590.0,1.0,sub-02
alpha[2],13.324,0.975,11.562,15.187,0.012,0.008,6664.0,2567.0,1.0,sub-03
alpha[3],-16.349,1.066,-18.311,-14.246,0.012,0.008,8063.0,2847.0,1.0,sub-04
alpha[4],-14.577,0.993,-16.488,-12.78,0.011,0.008,8583.0,3027.0,1.0,sub-05
alpha[5],-12.759,1.889,-16.252,-9.202,0.021,0.015,8069.0,2482.0,1.0,sub-06
alpha[6],-3.093,1.245,-5.258,-0.633,0.014,0.011,7415.0,2614.0,1.0,sub-08
alpha[7],6.998,0.993,5.045,8.756,0.011,0.008,8297.0,2598.0,1.0,sub-09
alpha[8],2.326,1.807,-1.061,5.619,0.021,0.022,7644.0,2886.0,1.0,sub-10
alpha[9],-3.078,1.357,-5.713,-0.631,0.014,0.012,9844.0,2373.0,1.0,sub-11
alpha[10],2.807,1.723,-0.307,6.087,0.019,0.018,8282.0,2808.0,1.0,sub-12
alpha[11],1.094,0.985,-0.738,2.972,0.011,0.012,7570.0,2429.0,1.0,sub-13
alpha[12],-25.072,1.75,-28.486,-21.821,0.02,0.014,7493.0,2564.0,1.0,sub-14
alpha[13],-7.241,1.231,-9.593,-4.944,0.013,0.01,8395.0,2823.0,1.0,sub-15
alpha[14],-24.364,1.309,-26.899,-22.009,0.014,0.01,8197.0,2998.0,1.0,sub-16
alpha[15],3.674,2.192,-0.345,7.94,0.025,0.022,7795.0,2912.0,1.0,sub-17
alpha[16],4.52,1.716,1.287,7.749,0.019,0.015,8358.0,2378.0,1.0,sub-18
alpha[17],-30.904,1.364,-33.384,-28.346,0.015,0.011,7962.0,2697.0,1.0,sub-19
alpha[18],-4.648,1.511,-7.513,-1.875,0.019,0.014,6726.0,2732.0,1.01,sub-20
alpha[19],-4.978,1.272,-7.491,-2.715,0.013,0.01,8994.0,2838.0,1.0,sub-21
alpha[20],3.932,2.261,-0.225,8.484,0.024,0.023,8985.0,2839.0,1.0,sub-22
alpha[21],2.064,1.938,-1.701,5.577,0.024,0.023,6273.0,2560.0,1.0,sub-23
alpha[22],-18.46,1.911,-21.916,-14.714,0.02,0.014,9542.0,2893.0,1.0,sub-24
alpha[23],-13.703,1.218,-15.888,-11.326,0.014,0.01,8053.0,2655.0,1.0,sub-25
alpha[24],-19.557,1.497,-22.398,-16.806,0.015,0.01,10604.0,3059.0,1.0,sub-26
alpha[25],-6.032,1.724,-9.245,-2.657,0.02,0.015,7650.0,2794.0,1.0,sub-27
alpha[26],2.936,0.964,1.111,4.665,0.011,0.009,7463.0,2609.0,1.0,sub-28
alpha[27],10.839,1.443,8.04,13.394,0.017,0.012,7349.0,2615.0,1.0,sub-29
alpha[28],-23.287,1.962,-27.011,-19.745,0.021,0.015,8711.0,2665.0,1.0,sub-30
alpha[29],-39.539,2.376,-44.07,-35.388,0.032,0.024,6013.0,3203.0,1.0,sub-31
alpha[30],-35.7,2.853,-41.227,-30.654,0.042,0.031,5322.0,2593.0,1.0,sub-32
alpha[31],-17.143,1.143,-19.401,-15.102,0.013,0.009,7837.0,2963.0,1.0,sub-33
alpha[32],-10.342,1.563,-13.33,-7.466,0.018,0.013,7300.0,2608.0,1.0,sub-34
alpha[33],-6.697,1.248,-8.919,-4.245,0.014,0.01,8238.0,2776.0,1.0,sub-35
alpha[34],-9.375,2.046,-13.325,-5.607,0.024,0.018,7232.0,2604.0,1.0,sub-36
alpha[35],1.825,1.371,-0.66,4.484,0.016,0.015,7606.0,2897.0,1.0,sub-37
alpha[36],-12.42,2.126,-16.605,-8.543,0.023,0.017,8560.0,2748.0,1.0,sub-38
alpha[37],-33.395,2.462,-38.167,-29.121,0.034,0.025,5474.0,3087.0,1.0,sub-39
alpha[38],-10.503,1.434,-13.196,-7.856,0.016,0.012,7950.0,2853.0,1.0,sub-40
alpha[39],3.385,2.56,-1.545,7.945,0.028,0.029,8179.0,2931.0,1.0,sub-41
alpha[40],0.716,1.746,-2.523,4.145,0.019,0.03,8094.0,2586.0,1.0,sub-42
alpha[41],12.451,1.31,10.085,14.989,0.016,0.011,7307.0,2827.0,1.0,sub-43
alpha[42],-9.137,1.488,-11.844,-6.201,0.017,0.012,8060.0,2949.0,1.0,sub-44
alpha[43],7.268,1.918,3.841,11.025,0.022,0.016,7819.0,2797.0,1.0,sub-45
alpha[44],-8.435,1.429,-11.298,-5.904,0.015,0.011,8704.0,2937.0,1.0,sub-47
alpha[45],-3.453,1.113,-5.568,-1.501,0.012,0.009,8601.0,2998.0,1.0,sub-48
alpha[46],-8.044,1.957,-11.941,-4.522,0.021,0.015,9009.0,2626.0,1.0,sub-49
alpha[47],-0.324,1.479,-3.29,2.316,0.016,0.027,8577.0,2824.0,1.0,sub-50
alpha[48],-6.18,2.374,-10.551,-1.727,0.025,0.022,9228.0,3041.0,1.0,sub-51
alpha[49],-44.708,3.47,-51.183,-38.988,0.053,0.038,5162.0,3059.0,1.0,sub-52
alpha[50],-12.238,2.443,-16.993,-7.771,0.029,0.021,7350.0,2628.0,1.0,sub-53
alpha[51],-6.182,1.202,-8.539,-4.042,0.013,0.01,7962.0,2467.0,1.0,sub-54
alpha[52],12.06,1.177,9.81,14.195,0.014,0.01,7149.0,2924.0,1.0,sub-55
alpha[53],-11.238,1.07,-13.22,-9.214,0.011,0.008,8788.0,2700.0,1.0,sub-56
alpha[54],-12.344,1.475,-15.107,-9.664,0.017,0.012,7364.0,2811.0,1.0,sub-57
alpha[55],-12.838,1.184,-15.183,-10.78,0.013,0.01,7926.0,2948.0,1.0,sub-58
alpha[56],-5.936,1.442,-8.628,-3.346,0.016,0.012,7662.0,2951.0,1.0,sub-59
